Employee ID    Sales Amount
***************************
1554                1136.81
1555                 849.02
1856                 392.60
1864                1140.24
1855                 725.88
1255                 954.11
1876                 785.24
1566                 959.38
1224                1006.77
1826                 341.07
1229                1087.96
1255                 610.04
1854                 665.07
1847                1100.63
1544                 931.74
1267                 482.49
1864                 784.71
1556                 962.15
1279                1024.81
1877                1185.08
1874                 923.13
1539                 302.55
1279                 426.20
1537                 976.88
1244                1085.75
1245                 496.07
1549                 699.71
1525                 568.13
1836                 548.83
1835                 671.92
1577                 923.18
1257                 309.53
1257                 579.73
1255                 815.79
1278                 602.16
1857                 738.53
1255                1020.53
1868                 275.26
1247                 434.01
1247                 507.34
1269                 744.97
1259                 624.11
1826                 964.28
1866                 696.94
1259                 998.91
1264                 898.37
1828                1097.55
1825                 487.89
1545                 608.98
1227                1218.46
1869                 507.60
1544                1219.06
1527                1070.76
1874                 779.01
1248                 909.95
1278                 818.20
1845                 506.24
1556                1223.65
1524                1200.80
1877                 603.39
1529                 504.69
1278                 372.68
1529                 489.35
1564                 465.44
1249                 828.92
1828                 355.59
1569                 997.46
1545                 422.00
1577                1000.89
1569                1092.41
1847                 824.70
1237                 545.74
1864                 767.69
1547                1166.05
1859                 600.79
1559                 270.25
1875                 433.91
1228                1062.43
1227                1014.43
1545                1071.90
1568                1073.40
1266                 789.45
1566                1202.43
1529                 517.56
1537                 613.36
1524                 868.98
1276                1029.30
1569                 704.15
1554                 798.86
1237                 699.54
1247                1235.15
1865                1056.15
1547                1025.70
1236                 307.04
1524                 455.03
1854                 505.90
1258                1052.62
1878                 454.22
1878                1126.60
1255                1051.81
1248                 587.97
1876                1137.09
1549                1249.17
1555                 683.48
1574                 747.66
1839                 448.22
1858                1045.12
1577                 691.62
1567                 394.55
1249                 826.84
1857                 478.75
1855                 344.92
1848                 349.18
1538                 662.92
1256                 652.42
1877                 941.73
1536                 474.90
1856                 302.01
1226                1083.10
1224                1245.66
1255                 633.36
1855                 411.05
1859                 850.36
1825                 284.07
1579                 532.34
1835                 709.03
1245                 618.57
1269                 538.34
1524                 424.05
1849                1098.47
1874                 535.70
1269                 483.14
1227                 703.73
1869                1146.86
1875                1007.28
1878                 528.50
1824                 355.61
1854                 959.90
1235                 343.86
1255                 318.75
1267                 302.31
1557                 424.67
1838                 287.86
1838                 415.38
1537                 611.58
1228                 821.66
1276                 406.66
1525                 347.75
1848                 576.39
1849                 818.65
1525                 368.23
1826                1048.66
1239                 683.46
1558                 842.47
1874                1094.04
1235                 650.81
1829                 447.10
1868                 812.71
1834                 774.34
1526                 675.17
1248                1118.47
1235                 267.15
1247                 771.86
1536                 579.15
1275                 270.18
1534                 851.26
