Employee ID           Sales Amount
**********************************
1257                        466.12
1548                        653.38
1234                       1140.41
1857                        705.22
1527                        637.26
1259                        848.01
1244                        259.74
1245                       1110.57
1856                        827.37
1874                        938.51
1268                        849.53
1877                        577.33
1246                       1192.41
1269                        384.79
1269                        637.55
1544                        468.48
1227                        698.65
1276                       1025.37
1247                       1065.63
1578                        734.35
1864                       1057.77
1837                        618.50
1556                        462.88
1836                        706.03
1228                       1136.25
1529                        896.80
1245                        719.42
1855                        396.19
1835                        887.42
1264                       1102.34
1244                        455.63
1539                        295.46
1279                        766.89
1557                       1044.26
1539                        693.88
1875                        666.26
1579                        657.59
1834                        641.88
1829                       1030.76
1528                        343.21
1255                        289.20
1844                        969.31
1579                        310.81
1235                       1030.94
1835                       1163.18
1839                        804.55
1544                        796.76
1848                       1092.46
1868                        972.23
1545                        676.10
1874                        840.26
1855                        856.07
1269                        520.27
1826                        412.10
1859                       1058.15
1268                        410.62
1836                       1152.93
1275                       1183.89
1867                        999.11
1856                        896.48
1565                        664.57
1577                       1049.16
1246                        317.00
1559                        305.82
1265                        737.69
1849                       1011.54
1275                        446.50
1546                        783.49
1237                        851.98
1878                        552.70
1865                        769.42
1877                        415.41
1856                        709.78
1537                        690.00
1578                        288.37
1525                        534.38
1538                       1159.06
1244                        518.55
1859                        804.05
1279                        510.47
1529                        615.91
1268                        259.85
1877                        577.94
1278                       1051.90
1239                        982.53
1555                        804.88
1226                        509.58
1559                        995.33
1878                       1075.70
1857                        765.74
1526                        808.24
1567                        614.79
1554                        539.78
1859                       1021.73
1565                       1166.23
1556                        404.01
1534                        277.18
1849                        762.95
1867                        423.57
1558                        389.27
1259                        368.36
1856                       1040.46
1877                        750.26
1246                        910.78
1279                        485.29
1275                        812.83
1265                        309.02
1245                        926.52
1235                        826.47
1566                        489.30
1248                        435.48
1878                        812.62
1837                        527.39
1846                        984.36
1577                        299.97
1838                        653.21
1839                        590.50
1527                        254.85
1868                       1089.73
1538                       1046.77
1828                        303.75
1844                        354.61
1248                        671.61
1538                        387.99
1245                       1161.49
1866                        980.54
1249                        772.38
1845                        679.15
1278                        286.05
1877                        511.24
1577                        646.39
1267                        823.96
1569                        355.65
1557                        567.14
1534                       1246.85
1569                        413.94
1558                       1017.91
1249                       1046.04
1828                        895.56
1237                       1040.23
1857                        813.84
1874                        676.29
1268                        462.11
1876                       1081.03
1569                        606.33
1865                       1060.37
1849                       1030.66
1527                       1001.38
1876                        493.10
1254                       1224.99
1837                       1070.15
1558                       1149.55
1535                       1237.24
1569                        662.72
1259                       1110.02
1227                       1051.93
1859                       1177.13
1258                        885.08
1268                        913.50
1559                       1215.35
1269                        660.98
1247                        468.16
1828                       1140.27
1554                        418.94
1564                        962.79
1279                        594.74
1256                        530.74
1837                        511.50
1839                        701.82
1856                       1104.87
1824                        569.79
1559                        713.38
1576                        769.61
1559                       1040.01
1225                        658.99
1575                        404.81
1558                        750.42
1247                        699.63
1264                        792.31
1528                        428.76
1537                        840.27
1234                       1173.30
1234                        726.39
1247                        889.30
1254                        272.36
1276                        397.33
1558                        649.28
1825                        442.50
1864                       1236.13
1825                        699.85
1565                        358.65
1835                       1097.74
1547                        299.65
1229                        843.44
1559                        927.51
1849                        512.56
1266                        335.71
1268                        581.25
1545                        877.48
1575                        791.09
1525                        937.20
1546                        694.56
1857                        855.53
1559                        781.84
1277                        343.19
1525                        543.95
1559                        798.17
1824                        867.08
1545                        859.34
1228                       1114.87
1557                        609.22
1257                        272.72
1548                        779.92
1225                        564.76
